Constituency,Leading Party,Trailing Party,Margin
Basudevpur,Indian National Congress,Biju Janata Dal,631
Begunia,Biju Janata Dal,Bharatiya Janata Party,47814
Berhampur,Bharatiya Janata Party,Biju Janata Dal,18709
Bhadrak,Bharatiya Janata Party,Biju Janata Dal,16068
Bhandaripokhari,Biju Janata Dal,Indian National Congress,1551
Bhanjanagar,Bharatiya Janata Party,Biju Janata Dal,16324
Bhatli,Bharatiya Janata Party,Biju Janata Dal,27892
Bhawanipatna,Indian National Congress,Bharatiya Janata Party,13741
Bhograi,Biju Janata Dal,Indian National Congress,6564
Bhubaneswar Central,Biju Janata Dal,Bharatiya Janata Party,37
Bhubaneswar North,Biju Janata Dal,Bharatiya Janata Party,11343
Bijepur,Bharatiya Janata Party,Biju Janata Dal,10066
Binjharpur,Biju Janata Dal,Bharatiya Janata Party,2856
Biramitrapur,Biju Janata Dal,Bharatiya Janata Party,6884
Birmaharajpur,Bharatiya Janata Party,Biju Janata Dal,21946
Bissam Cuttack,Indian National Congress,Biju Janata Dal,9403
Bolangir,Biju Janata Dal,Indian National Congress,13409
Bonai,Communist Party of India  (Marxist),Biju Janata Dal,23439
Boudh,Bharatiya Janata Party,Biju Janata Dal,2765
Brahmagiri,Bharatiya Janata Party,Biju Janata Dal,9830
Talcher,Biju Janata Dal,Bharatiya Janata Party,32122
Talsara,Bharatiya Janata Party,Biju Janata Dal,17189
Telkoi,Bharatiya Janata Party,Biju Janata Dal,9439
Tirtol,Biju Janata Dal,Bharatiya Janata Party,28495
Titlagarh,Bharatiya Janata Party,Biju Janata Dal,17399
Udala,Bharatiya Janata Party,Biju Janata Dal,6517
Umerkote,Bharatiya Janata Party,Biju Janata Dal,10373
Anandapur,Biju Janata Dal,Indian National Congress,10966
Angul,Bharatiya Janata Party,Biju Janata Dal,17433
Aska,Bharatiya Janata Party,Biju Janata Dal,8059
Rairakhol,Biju Janata Dal,Bharatiya Janata Party,4960
Rairangpur,Bharatiya Janata Party,Biju Janata Dal,7693
Rajanagar,Biju Janata Dal,Bharatiya Janata Party,18241
Rajgangpur,Indian National Congress,Biju Janata Dal,10184
Karanjia,Bharatiya Janata Party,Biju Janata Dal,29499
Kendrapara,Biju Janata Dal,Bharatiya Janata Party,35418
Keonjhar,Bharatiya Janata Party,Biju Janata Dal,11577
Athagarh,Biju Janata Dal,Bharatiya Janata Party,3584
Athamallik,Biju Janata Dal,Bharatiya Janata Party,16153
Attabira,Bharatiya Janata Party,Biju Janata Dal,28910
Aul,Biju Janata Dal,Indian National Congress,19628
Badasahi,Bharatiya Janata Party,Biju Janata Dal,37387
Balasore,Bharatiya Janata Party,Biju Janata Dal,28626
Baliguda,Biju Janata Dal,Indian National Congress,1671
Balikuda-Erasama,Biju Janata Dal,Bharatiya Janata Party,25959
Bangriposi,Bharatiya Janata Party,Biju Janata Dal,34476
Banki,Biju Janata Dal,Bharatiya Janata Party,17026
Ranpur,Bharatiya Janata Party,Biju Janata Dal,15544
Khalikote,Bharatiya Janata Party,Biju Janata Dal,23057
Khandapada,Bharatiya Janata Party,Biju Janata Dal,7343
Khariar,Biju Janata Dal,Bharatiya Janata Party,9618
Khurda,Bharatiya Janata Party,Biju Janata Dal,8598
Koraput,Bharatiya Janata Party,Biju Janata Dal,2524
